StorageUnit,name,carrier,bus,p_nom,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,p_min_pu,build_year,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,marginal_cost,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow,p_nom_opt,country,bidding_zone,p_set_before_scaling
318 hydro,Ovre Rossaga 2,hydro,6934,159.0,177831.093925293,4576.95428571429,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,64.7589249312273,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,159.0
319 hydro,Oksla 2,hydro,6680,220.0,177831.093925293,2206.5145631068,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,137.193197057203,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_2,220.0
320 hydro,Nes Oek 2,hydro,6715,260.0,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,92.2258092956727,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,260.0
321 hydro,Adamselv,hydro,7010,50.4,177831.093925293,3348.8,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,20.5273573366909,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,50.4
322 hydro,Nore,hydro,6724,206.0,177831.093925293,1084.6511627907,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,73.0712181342637,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,206.0
323 hydro,Bardufoss 2,hydro,7020,43.7,177831.093925293,6.0,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,17.7985221351864,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,43.7
324 hydro,Batsvatn 2,hydro,6996,30.0,177831.093925293,3054.33333333333,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,12.2186650813636,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,30.0
325 hydro,Glomfjord 3,hydro,7006,20.0,177831.093925293,787.1,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,8.1457767209091,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,20.0
326 hydro,Innset 3,hydro,7020,90.0,177831.093925293,4758.43333333333,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,36.6559952440909,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_4,90.0
327 hydro,Ylja,hydro,6671,65.0,177831.093925293,5402.42446153846,0.0,0.9,1,0.0,0,PQ,hydro,0,0.0,Inf,1.0,23.0564523239182,0.0,1.0,0.0,Inf,0.0,0,,1,0.0,0.0,0.0,NO,NO_5,65.0
